Time, Vehicle speed (MPH), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Calculated load value (%), Engine coolant temperature (F), Engine RPM (RPM), Intake manifold absolute pressure (PSI), Intake air temperature (F), Mass air flow rate (lb/min), Absolute throttle position (%), Input voltage read by the scan tool (V), Commanded throttle actuator control (%), Accelerator pedal position E (%), Accelerator pedal position D (%), Absolute throttle position B (%), Relative throttle position (%), Fuel/Air commanded equivalence ratio, Absolute load value (%), Control module voltage (V), Catalyst temperature (Bank 1 Sensor 1) (F), Oxygen sensor 1 current wide range (mA), Oxygen sensor 1 lambda wide range (current probe), Barometric pressure (PSI), Evap system vapor pressure (PSI), Distance traveled since DTCs cleared (miles), Number of warm-ups since DTCs cleared, Fuel level input (%), Commanded evaporative purge (%), EGR error (%), Commanded EGR (%), Time since engine start (sec), Distance traveled while MIL is activated (miles), Short term fuel trim (Bank 1  Sensor 2) (%), Oxygen sensor voltage (Bank 1  Sensor 2) (V), Ignition timing advance for #1 cylinder, Long term fuel % trim - Bank 1 (%), Short term fuel % trim - Bank 1 (%), Longitude, Latitude, Altitude (m), Bearing (deg), GPS Speed (m/s), GPS Accuracy (m)
09/05/2013 03:45:32.8794 PM,45.98147,66.26291,37.69742,0.6939247,25.4902,176,2944,3.770981,89.6,1.024002,19.21569,14.3,10.58823,14.11765,28.23529,34.5098,9.411765,1.021628,21.17647,14.275,1206.68,-0.06640625,1.039348,11.45798,1.170817,2867.628,50,49.80392,27.05882,58.59375,4.313725,4953,0,7.8125,0.775,41.5,7.03125,7.8125,-110.6153,43.90735,0,142,23.45625,15
09/05/2013 03:46:01.4333 PM,44.73873,42.20503,37.71014,1.060033,53.72549,177.8,2185,7.977076,91.4,1.580985,22.35294,14.3,15.29412,16.86275,33.72549,37.2549,13.72549,1.010831,36.07843,14.275,1200.56,0.046875,0.9698085,11.45798,1.182384,2867.628,50,42.7451,0,-5.46875,37.64706,4982,0,3.90625,0.665,44,7.03125,3.90625,-110.6267,43.90826,2068.6,150,20.3913,15
09/05/2013 03:46:02.4305 PM,44.73873,41.2591,37.71033,1.084336,56.47059,177.8,2198,8.122113,91.4,1.629936,22.35294,14.3,15.29412,16.86275,33.72549,37.64706,14.11765,0.99735,37.64706,14.275,1195.88,-0.05859375,1.013607,11.45798,1.153449,2867.628,50,42.7451,16.07843,-1.5625,42.35294,4982,0,7.8125,0.64,43.5,7.03125,7.8125,-110.6266,43.9081,2069.2,150,20.3913,15
09/05/2013 03:46:03.4328 PM,45.3601,60.65417,37.7108,0.747848,47.05882,177.8,2207,7.541962,91.4,1.131165,21.17647,14.3,13.72549,16.07843,32.54902,36.47059,12.54902,0.9903655,35.29412,14.275,1192.46,-0.02734375,0.998692,11.45798,1.132237,2867.628,50,42.7451,32.15686,3.90625,34.90196,4982,0,8.59375,0.57,47.5,7.03125,8.59375,-110.6265,43.90794,2068.7,151,20.57895,10
09/05/2013 03:46:04.4337 PM,44.73873,89.29176,37.71186,0.5010398,27.84314,177.8,2203,3.916019,89.6,0.764694,16.86275,14.3,7.843137,13.33333,27.05882,33.33333,7.058824,0.9859735,18.43137,14.275,1187.24,0.02734375,0.9709675,11.45798,1.153449,2867.628,50,42.7451,32.15686,7.8125,4.705883,4982,0,10.9375,0.185,43,7.03125,10.9375,-110.6263,43.90778,2069.1,151,20.57895,10
09/05/2013 03:46:05.4358 PM,44.73873,93.21693,37.71284,0.4799421,25.4902,177.8,2194,3.625943,89.6,0.734265,16.86275,14.4,7.45098,13.33333,26.66667,33.33333,7.058824,0.983625,17.2549,14.275,1183.46,0.0390625,0.9727365,11.45798,1.186227,2868.25,50,43.52941,32.54902,0,0,4985,0,4.6875,0.3,36,7.03125,3.90625,-110.6262,43.90762,2069.2,152,20.57895,10
09/05/2013 03:46:06.4378 PM,44.73873,113.7933,37.71425,0.3931577,24.31373,177.8,2182,3.19083,89.6,0.603288,15.68627,14.3,5.882353,12.15686,24.31373,32.15686,5.098039,0.980087,14.11765,14.275,1181.3,0.01953125,0.9590115,11.45798,1.130279,2868.25,50,43.52941,34.11765,0,0,4985,0,3.125,0.475,36.5,7.03125,3.125,-110.6261,43.90745,2069.7,152,20.3913,10
09/05/2013 03:46:07.4390 PM,44.11736,122.0538,37.71566,0.3614581,18.43137,177.8,2178,2.610679,89.6,0.541107,15.68627,14.3,5.882353,12.15686,24.70588,32.15686,5.098039,1.007049,12.54902,14.275,1179.14,0.1171875,0.9396745,11.45798,1.180462,2868.25,50,43.52941,0,0,0,4985,0,7.8125,0.55,37,7.03125,7.8125,-110.626,43.90729,2070.3,153,20.32875,10
09/05/2013 03:46:08.4398 PM,44.11736,77.76188,37.71687,0.5673391,29.41176,177.8,2172,4.206094,91.4,0.84672,18.43137,14.4,9.803922,14.90196,29.80392,34.5098,9.411765,0.99796,23.13725,14.3,1176.98,-0.03125,1.01565,11.45798,1.180462,2868.25,50,42.7451,4.313725,-100,0,4988,0,4.6875,0.565,35,7.03125,4.6875,-110.6259,43.90713,2070.8,153,20.2662,10
09/05/2013 03:46:09.4420 PM,44.73873,49.92833,37.71753,0.896059,47.84314,177.8,2191,6.961812,91.4,1.377243,21.17647,14.3,14.11765,16.47059,32.94118,36.86274,12.94118,1.00104,34.90196,14.3,1174.64,0.01953125,0.9804225,11.45798,1.170817,2868.25,50,42.7451,8.235294,-7.03125,33.33333,4988,0,4.6875,0.57,45.5,7.03125,7.8125,-110.6258,43.90697,2070.9,153,20.2662,10
09/05/2013 03:46:10.4439 PM,44.73873,82.45441,37.71832,0.5425875,35.29412,177.8,2210,4.49617,91.4,0.83349,16.86275,14.4,7.843137,13.33333,27.05882,33.33333,7.058824,0.9796295,17.64706,14.3,1170.5,-0.0234375,1.008909,11.45798,1.184306,2868.25,50,42.7451,12.54902,36.71875,3.921569,4988,0,10.9375,0.57,44.5,7.03125,10.9375,-110.6256,43.9068,2070.1,153,20.5164,5
09/05/2013 03:46:11.4456 PM,45.3601,88.85761,37.7195,0.5104807,26.27451,177.8,2220,3.625943,91.4,0.769986,17.2549,14.2,8.235294,13.72549,27.84314,33.72549,7.45098,0.997899,18.82353,14.3,1167.62,0.0390625,0.9726755,11.45798,1.178504,2868.25,50,41.96078,14.11765,0,0,4992,0,9.375,0.57,36,7.03125,9.375,-110.6255,43.90664,2069.6,152,20.6415,5
