Time, Vehicle speed (MPH), Longitude, Latitude, Altitude (m), Bearing (deg), GPS Speed (m/s), GPS Accuracy (m)
08/28/2013 07:35:41.4646 AM,13.04879,-122.4727,37.78617,4.399994,347,2.31435,10
08/28/2013 07:35:42.4636 AM,16.77702,-122.4727,37.7862,3.799988,357,4.0032,10
08/28/2013 07:35:43.5771 AM,19.26251,-122.4727,37.78625,4.399994,351,4.7538,10
08/28/2013 07:35:44.4682 AM,23.6121,-122.4727,37.78633,5.399994,356,7.19325,10
08/28/2013 07:35:45.4881 AM,28.58307,-122.4727,37.78643,6.5,3,10.19565,10
08/28/2013 07:35:46.5084 AM,33.55404,-122.4726,37.78657,6,7,13.19805,10
08/28/2013 07:35:47.4892 AM,36.6609,-122.4726,37.78674,5.200012,10,15.6375,10
08/28/2013 07:35:48.4908 AM,38.52501,-122.4726,37.78689,5.399994,8,16.95105,10
08/28/2013 07:35:49.4919 AM,41.63187,-122.4725,37.78706,4.299988,12,17.1387,10
08/28/2013 07:35:50.4939 AM,44.11736,-122.4724,37.78722,4.299988,14,18.1395,10
08/28/2013 07:35:51.4971 AM,44.11736,-122.4724,37.7874,3,15,18.57735,10
08/28/2013 07:35:52.4973 AM,44.11736,-122.4723,37.78757,0.7999878,19,18.70245,10
08/28/2013 07:35:53.5308 AM,44.11736,-122.4722,37.78774,1.200012,21,19.95345,10
08/28/2013 07:35:54.5079 AM,44.11736,-122.4721,37.7879,2.600006,22,19.95345,10
08/28/2013 07:35:55.5085 AM,45.3601,-122.472,37.78806,3.5,23,19.70325,10
08/28/2013 07:35:56.5106 AM,46.60284,-122.472,37.78823,2.899994,25,20.3913,10
08/28/2013 07:35:57.5117 AM,47.22421,-122.4718,37.7884,3.899994,27,21.32955,10
08/28/2013 07:35:58.5492 AM,47.22421,-122.4717,37.78857,4.799988,31,22.0176,10
08/28/2013 07:36:00.4162 AM,46.60284,-122.4715,37.7889,4.600006,34,22.3929,10
08/28/2013 07:36:01.5182 AM,46.60284,-122.4713,37.78907,4.799988,32,21.07935,10
08/28/2013 07:36:02.5214 AM,47.84558,-122.4712,37.78923,5.100006,31,20.7666,10
08/28/2013 07:36:04.5067 AM,47.84558,-122.471,37.78954,6.5,33,19.6407,10
08/28/2013 07:36:05.5092 AM,47.22421,-122.4708,37.78971,6.5,29,20.6415,10
08/28/2013 07:36:07.4958 AM,46.60284,-122.4706,37.79005,7.5,28,20.82915,10
08/28/2013 07:36:08.4023 AM,45.98147,-122.4705,37.79021,8.799988,27,20.57895,10
08/28/2013 07:36:09.4091 AM,44.73873,-122.4704,37.79039,10.79999,25,20.82915,10
08/28/2013 07:36:10.5088 AM,44.11736,-122.4703,37.79055,12.40002,28,20.3913,10
08/28/2013 07:36:11.4098 AM,43.49598,-122.4702,37.79072,13.90002,27,20.6415,10
08/28/2013 07:36:12.4179 AM,43.49598,-122.4701,37.79088,16.40002,26,20.5164,10
08/28/2013 07:36:13.4733 AM,43.49598,-122.47,37.79105,19.5,23,20.57895,10
08/28/2013 07:36:14.4179 AM,44.11736,-122.4699,37.79121,21.5,18,19.70325,10
08/28/2013 07:36:15.4176 AM,44.73873,-122.4698,37.79138,23.59998,16,20.20365,10
08/28/2013 07:36:16.4204 AM,44.73873,-122.4697,37.79156,24.90002,15,19.82835,10
08/28/2013 07:36:17.4216 AM,44.73873,-122.4697,37.79173,25.20001,13,19.95345,10
08/28/2013 07:36:18.4236 AM,44.73873,-122.4696,37.7919,25.70001,10,20.20365,10
08/28/2013 07:36:19.4591 AM,43.49598,-122.4696,37.79208,26.09998,8,20.016,5
08/28/2013 07:36:20.4345 AM,43.49598,-122.4696,37.79226,27.09998,5,19.6407,5
08/28/2013 07:36:21.4339 AM,42.25324,-122.4696,37.79244,27.90002,3,19.5156,5
08/28/2013 07:36:22.4369 AM,42.25324,-122.4696,37.79261,28.79999,1,19.32795,5
