Time, Vehicle speed (MPH), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Calculated load value (%), Engine coolant temperature (F), Engine RPM (RPM), Intake manifold absolute pressure (PSI), Intake air temperature (F), Mass air flow rate (lb/min), Absolute throttle position (%), Longitude, Latitude, Altitude (m), Bearing (deg), GPS Speed (m/s), GPS Accuracy (m)
08/28/2013 09:57:31.2688 AM,0,0,0.02709683,0.2550316,32.54902,179.6,753,5.221359,96.8,0.38367,13.72549,-122.18,39.24027,-8.899994,173,1.93905,10
08/28/2013 09:57:32.1669 AM,0,0,0.02663222,0.2514899,32.94118,179.6,752,5.221359,96.8,0.377055,13.72549,-122.18,39.24027,-8.700012,156,2.2518,10
08/28/2013 09:57:33.1607 AM,0,0,0.02607574,0.2611966,32.94118,181.4,754,5.221359,96.8,0.391608,13.72549,-122.18,39.24026,-8.299988,140,1.7514,10
08/28/2013 09:57:34.1855 AM,0,0,0.02562135,0.239136,31.37255,181.4,754,5.076321,96.8,0.358533,13.72549,-122.18,39.24029,-8.600006,121,0.6255,10
08/28/2013 09:57:35.2317 AM,0,0,0.02511941,0.2532547,32.54902,181.4,745,5.076321,96.8,0.379701,13.72549,-122.18,39.24028,-8.5,122,0.18765,10
08/28/2013 09:57:37.1011 AM,0,0,0.024273,0.2488427,31.37255,181.4,751,5.076321,96.8,0.373086,13.72549,-122.18,39.24028,-8.5,122,0,10
08/28/2013 09:57:38.1366 AM,0,0,0.0238578,0.2444305,31.76471,181.4,745,5.221359,96.8,0.366471,13.72549,-122.18,39.24028,-8.5,122,0,10
08/28/2013 09:57:39.1378 AM,0,0,0.02344381,0.2444305,31.37255,181.4,749,5.076321,96.8,0.366471,13.72549,-122.18,39.24028,-8.5,122,0,10
08/28/2013 09:57:40.1444 AM,0,0,0.0230771,0.2417833,30.98039,181.4,746,5.221359,96.8,0.362502,13.72549,-122.18,39.24028,-8.5,122,0,10
08/28/2013 09:57:41.1431 AM,0,0,0.02271096,0.2444305,30.98039,181.4,747,5.221359,96.8,0.366471,13.72549,-122.18,39.24028,-8.5,122,0,10
08/28/2013 09:57:42.1457 AM,0,0,0.02234722,0.2373712,30.58824,181.4,756,5.076321,96.8,0.355887,13.72549,-122.18,39.24028,-8.5,122,0,10
08/28/2013 09:57:43.1475 AM,0,0,0.02199576,0.2417833,30.98039,181.4,751,5.221359,96.8,0.362502,13.72549,-122.18,39.24028,-8.5,122,0,10
08/28/2013 09:57:44.1491 AM,0,0,0.02166628,0.2514899,31.76471,181.4,747,5.076321,96.8,0.377055,13.72549,-122.18,39.24028,-8.5,122,0,5
08/28/2013 09:57:45.1511 AM,0,0,0.02132972,0.2514899,32.15686,181.4,747,5.076321,96.8,0.377055,13.72549,-122.18,39.24028,-8.5,122,0,5
08/28/2013 09:57:46.1517 AM,0,0,0.020986,0.2488427,31.76471,181.4,752,5.221359,96.8,0.373086,13.72549,-122.18,39.24028,-8.5,122,0,5
08/28/2013 09:57:47.1528 AM,0,0,0.02067661,0.2444305,32.54902,181.4,750,5.076321,96.8,0.366471,13.72549,-122.18,39.24028,-8.5,122,0,10
08/28/2013 09:57:48.1537 AM,0,0,0.02035648,0.255902,31.76471,181.4,753,5.221359,96.8,0.38367,13.72549,-122.18,39.24028,-8.5,122,0,30
08/28/2013 09:57:49.1970 AM,0,0,0.02006048,0.2461954,31.37255,181.4,750,5.076321,96.8,0.369117,13.72549,-122.18,39.24028,-8.5,122,0,25
08/28/2013 09:57:50.1645 AM,0,0,0.01979811,0.2444305,31.37255,181.4,755,5.076321,96.8,0.366471,13.72549,-122.18,39.24028,-8.5,122,0,30
08/28/2013 09:57:51.1937 AM,0,0,0.01952161,0.2347239,29.41176,181.4,753,5.221359,96.8,0.351918,13.72549,-122.18,39.24028,-8.5,122,0,25
08/28/2013 09:57:53.0949 AM,0,0,0.01902645,0.2373712,30.19608,181.4,750,5.221359,96.8,0.355887,13.72549,-122.18,39.24028,-8.5,122,0,20
08/28/2013 09:57:54.1376 AM,0,0,0.01876469,0.2461954,31.37255,181.4,752,5.221359,96.8,0.369117,13.72549,-122.18,39.24028,-8.5,122,0,20
08/28/2013 09:57:55.3692 AM,0,0,0.01845853,0.2514899,32.54902,181.4,753,5.076321,96.8,0.377055,13.72549,-122.18,39.24028,-8.5,122,0,15
08/28/2013 09:57:56.1321 AM,0,0,0.01825937,0.2488427,32.15686,181.4,763,5.221359,96.8,0.373086,13.72549,-122.18,39.24028,-8.5,122,0,15
08/28/2013 09:57:57.0982 AM,0,0,0.01804695,0.2232524,28.62745,181.4,746,5.221359,96.8,0.334719,13.33333,-122.18,39.24028,-8.5,122,0,15
08/28/2013 09:57:58.1974 AM,0,0,0.01788348,0.1411873,19.60784,181.4,721,3.916019,96.8,0.21168,12.54902,-122.18,39.24028,-8.5,122,0,15
08/28/2013 09:58:00.0975 AM,0,0,0.01762992,0.1491291,19.60784,181.4,694,3.625943,96.8,0.223587,12.54902,-122.18,39.24028,-8.5,122,0,10
08/28/2013 09:58:01.0961 AM,0,0,0.01749675,0.1544236,20,181.4,695,3.770981,96.8,0.231525,12.54902,-122.18,39.24028,-8.5,122,0,10
08/28/2013 09:58:02.1974 AM,0,0,0.01735788,0.1535412,20.39216,181.4,688,3.770981,96.8,0.230202,12.94118,-122.18,39.24028,-8.5,122,0,10
08/28/2013 09:58:04.0932 AM,0,0,0.0171054,0.1535412,20.39216,181.4,684,3.916019,96.8,0.230202,13.33333,-122.18,39.24028,-8.5,122,0,10
08/28/2013 09:58:05.1028 AM,0,0,0.01690445,0.2885516,36.47059,181.4,766,5.656472,96.8,0.432621,14.11765,-122.18,39.24028,-8.5,122,0,10
08/28/2013 09:58:06.1857 AM,0,0,0.01665361,0.2461954,29.80392,181.4,768,5.221359,96.8,0.369117,13.72549,-122.18,39.24028,-8.5,122,0,10
08/28/2013 09:58:07.1064 AM,0,0,0.01648644,0.2311745,29.41176,181.4,740,4.931283,96.8,0.347949,13.72549,-122.18,39.24029,-9.299988,68,1.68885,10
08/28/2013 09:58:08.1449 AM,0,0,0.01629627,0.2232524,29.80392,181.4,737,5.076321,96.8,0.334719,13.72549,-122.18,39.24028,-9.299988,39,0.2502,10
08/28/2013 09:58:09.0955 AM,0,0,0.01613291,0.2232524,28.62745,181.4,735,5.076321,96.8,0.334719,13.72549,-122.18,39.24028,-9.200012,68,0.31275,10
08/28/2013 09:58:10.0980 AM,0,0,0.0159593,0.239136,30.98039,181.4,739,5.076321,96.8,0.358533,13.72549,-122.18,39.24028,-9.399994,68,0,10
08/28/2013 09:58:11.0995 AM,0,0,0.01577981,0.2232524,29.80392,181.4,745,5.221359,96.8,0.334719,13.72549,-122.18,39.24028,-9.399994,68,0,10
08/28/2013 09:58:12.2081 AM,0,0,0.01561935,0.2188403,28.23529,181.4,747,5.076321,96.8,0.328104,13.72549,-122.18,39.24028,-9.399994,68,0,10
08/28/2013 09:58:13.1059 AM,0,0,0.01547233,0.2206052,28.23529,181.4,752,5.076321,96.8,0.33075,13.72549,-122.18,39.24028,-9.399994,68,0,10
08/28/2013 09:58:14.1372 AM,0,0,0.01531603,0.2170755,27.84314,179.6,747,5.076321,96.8,0.325458,13.72549,-122.18,39.24028,-9.399994,68,0,10
08/28/2013 09:58:15.0940 AM,0,0,0.01516803,0.2276646,29.01961,179.6,744,5.076321,96.8,0.341334,13.72549,-122.18,39.24028,-9.399994,68,0,10
08/28/2013 09:58:16.0942 AM,0,0,0.01501718,0.2303118,29.80392,179.6,739,5.221359,96.8,0.345303,13.72549,-122.18,39.24028,-9.399994,68,0,10
08/28/2013 09:58:17.0950 AM,0,0,0.01489787,0.1535412,19.21569,179.6,758,4.061057,96.8,0.230202,12.54902,-122.18,39.24028,-9.399994,68,0,5
08/28/2013 09:58:18.0950 AM,0,0,0.01480236,0.1473643,20,179.6,693,3.770981,96.8,0.220941,12.54902,-122.18,39.24028,-9.399994,68,0,5
08/28/2013 09:58:19.1466 AM,0,0,0.01470392,0.1491291,20,179.6,682,3.770981,96.8,0.223587,12.54902,-122.18,39.24028,-9.399994,68,0,5
08/28/2013 09:58:20.1964 AM,0,0,0.01460762,0.144717,19.60784,179.6,688,3.770981,96.8,0.216972,12.54902,-122.18,39.24028,-9.399994,68,0,5
08/28/2013 09:58:22.1015 AM,0,0,0.01443388,0.1535412,20.39216,179.6,681,3.916019,96.8,0.230202,12.94118,-122.18,39.24028,-9.399994,68,0,5
08/28/2013 09:58:23.0979 AM,0,0,0.01434563,0.1535412,20,179.6,700,3.770981,96.8,0.230202,12.94118,-122.18,39.24028,-9.399994,68,0,5
08/28/2013 09:58:24.1109 AM,0,0,0.01422685,0.2691383,33.72549,179.6,794,4.931283,96.8,0.403515,14.11765,-122.18,39.24028,-9.399994,68,0,5
08/28/2013 09:58:25.1036 AM,0,0,0.01407716,0.2444305,31.37255,179.6,768,5.511434,96.8,0.366471,14.11765,-122.18,39.24028,-9.399994,68,0,5
08/28/2013 09:58:26.1446 AM,0,0,0.01394224,0.2276646,29.80392,179.6,762,5.076321,96.8,0.341334,13.72549,-122.18,39.24028,-9.399994,68,0,5
08/28/2013 09:58:27.1008 AM,0,0,0.0138295,0.2149857,27.84314,179.6,738,5.076321,96.8,0.325458,13.72549,-122.18,39.24028,-9.399994,68,0,5
08/28/2013 09:58:28.1020 AM,0,0,0.0136979,0.2337188,30.19608,179.6,741,5.076321,96.8,0.351918,13.72549,-122.18,39.24028,-9.399994,68,0,5
08/28/2013 09:58:29.1030 AM,0,0,0.01357416,0.2228237,28.62745,179.6,741,5.076321,96.8,0.337365,13.72549,-122.18,39.24028,-9.399994,68,0,5
08/28/2013 09:58:30.1004 AM,0,0,0.01346048,0.2147616,27.45098,179.6,743,4.931283,96.8,0.325458,13.72549,-122.18,39.24028,-9.399994,68,0,5
08/28/2013 09:58:31.1037 AM,0,0,0.0133442,0.2303118,28.62745,179.6,742,5.076321,98.6,0.345303,13.72549,-122.18,39.24028,-9.399994,68,0,5
08/28/2013 09:58:32.1392 AM,0,0,0.01322163,0.2347239,30.19608,179.6,746,4.931283,98.6,0.351918,13.72549,-122.18,39.24028,-9.399994,68,0,5
08/28/2013 09:58:33.1411 AM,0,0,0.01310178,0.2276646,30.58824,179.6,749,5.076321,98.6,0.341334,13.72549,-122.18,39.24028,-9.399994,68,0,5
08/28/2013 09:58:34.1416 AM,0,0,0.01299079,0.2250173,29.01961,179.6,751,5.076321,98.6,0.337365,13.72549,-122.18,39.24028,-9.399994,68,0,5
08/28/2013 09:58:35.1447 AM,0,0,0.01288297,0.2250173,27.84314,179.6,761,4.931283,98.6,0.337365,12.94118,-122.18,39.24028,-9.399994,68,0,5
