Time, Vehicle speed (MPH), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Calculated load value (%), Engine coolant temperature (F), Engine RPM (RPM), Intake manifold absolute pressure (PSI), Intake air temperature (F), Mass air flow rate (lb/min), Absolute throttle position (%), Input voltage read by the scan tool (V), Commanded throttle actuator control (%), Accelerator pedal position E (%), Accelerator pedal position D (%), Absolute throttle position B (%), Relative throttle position (%), Fuel/Air commanded equivalence ratio, Absolute load value (%), Control module voltage (V), Catalyst temperature (Bank 1 Sensor 1) (F), Oxygen sensor 1 current wide range (mA), Oxygen sensor 1 lambda wide range (current probe), Barometric pressure (PSI), Evap system vapor pressure (PSI), Distance traveled since DTCs cleared (miles), Number of warm-ups since DTCs cleared, Fuel level input (%), Commanded evaporative purge (%), EGR error (%), Commanded EGR (%), Time since engine start (sec), Distance traveled while MIL is activated (miles), Short term fuel trim (Bank 1  Sensor 2) (%), Oxygen sensor voltage (Bank 1  Sensor 2) (V), Ignition timing advance for #1 cylinder, Long term fuel % trim - Bank 1 (%), Short term fuel % trim - Bank 1 (%), Longitude, Latitude, Altitude (m), Bearing (deg), GPS Speed (m/s), GPS Accuracy (m)
08/28/2013 06:12:54.8666 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.27451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-123.2856,43.55155,100.5,19,32.2758,5
08/28/2013 06:12:55.9388 PM,72.07906,26.85635,37.88957,2.683874,67.05882,0,3541,11.74806,0,4.070871,29.01961,14.4,25.4902,9.803922,19.60784,43.13726,23.52941,0.992958,58.82353,14.325,1320.98,0.015625,0.9907925,14.35874,1.114869,1275.054,35,28.62745,100,0,86.66666,5355,0,13.28125,0.665,32.5,13.28125,13.28125,-123.2855,43.55182,100,19,31.71285,5
08/28/2013 06:12:57.8064 PM,72.70043,32.17011,37.88562,2.259875,58.03922,0,3559,10.29768,0,3.422601,25.88235,14.4,21.17647,9.803922,19.60784,40.78431,19.60784,0.9928665,49.01961,14.325,1332.5,0,0.991921,14.35874,1.099422,1275.054,35,28.62745,100,0.78125,71.76471,5355,0,13.28125,0.67,39,13.28125,13.28125,-123.2852,43.55237,99.29999,18,32.1507,5
08/28/2013 06:12:58.8352 PM,72.70043,34.26243,37.88449,2.12187,53.33333,0,3568,9.717528,87.8,3.200337,25.09804,14.4,20,9.803922,19.60784,40,18.43137,0.993629,45.09804,14.375,1333.58,-0.00390625,0.9939035,14.35874,1.099422,1275.054,35,26.66667,100,0,64.70588,5358,0,12.5,0.67,40.5,13.28125,12.5,-123.2851,43.55266,99.40002,18,33.08895,5
08/28/2013 06:12:59.8172 PM,72.70043,35.70765,37.88375,2.03599,50.19608,0,3573,9.427453,87.8,3.064068,24.70588,14.4,19.21569,9.803922,19.60784,39.60784,17.64706,0.9938425,44.31372,14.375,1333.04,-0.00390625,0.996862,14.35874,1.097501,1275.054,35,26.66667,100,0,60.78431,5358,0,12.5,0.67,41,13.28125,12.5,-123.285,43.55294,99.29999,17,33.21405,5
08/28/2013 06:13:00.8218 PM,72.70043,36.95029,37.88366,1.96752,48.62745,0,3574,8.99234,87.8,2.958228,24.31373,14.4,18.43137,9.803922,19.60784,39.21569,16.86275,1.002474,41.96078,14.375,1331.24,-0.01953125,0.997228,14.35874,1.097501,1275.054,35,26.66667,100,0.78125,56.86274,5358,0,12.5,0.67,41.5,13.28125,12.5,-123.2848,43.55323,99.09998,18,33.21405,5
08/28/2013 06:13:01.9637 PM,72.70043,38.09898,37.88367,1.908199,47.05882,179.6,3568,8.847302,87.8,2.866941,23.92157,14.3,18.03922,9.803922,19.60784,38.82353,16.86275,1.005067,40.78431,14.375,1329.08,-0.0234375,1.007964,14.35874,1.095579,1275.054,35,26.66667,100,0,54.11765,5358,0,12.5,0.65,42,13.28125,12.5,-123.2847,43.55352,99.70001,18,33.0264,10
08/28/2013 06:13:02.9149 PM,72.70043,37.32586,37.88363,1.947723,47.84314,179.6,3561,8.847302,89.6,2.942352,24.31373,14.3,18.43137,9.803922,19.60784,39.21569,17.2549,0.998509,42.35294,14.4,1326.56,-0.01171875,1.001467,14.35874,1.097501,1275.054,35,29.41176,100,0,55.68628,5362,0,12.5,0.64,42,13.28125,12.5,-123.2846,43.5538,99.20001,17,33.2766,10
08/28/2013 06:13:04.9097 PM,72.70043,37.30246,37.88327,1.948944,49.01961,179.6,3557,9.137378,89.6,2.958228,24.31373,14.4,18.82353,9.803922,19.60784,39.21569,17.2549,0.993385,42.7451,14.4,1324.04,-0.00390625,0.9933545,14.35874,1.097501,1275.054,35,29.41176,100,0,58.03922,5362,0,12.5,0.63,41.5,13.28125,12.5,-123.2844,43.55436,100,18,33.33915,10
08/28/2013 06:13:06.8165 PM,72.70043,37.14486,37.88311,1.957214,48.62745,179.6,3551,9.137378,89.6,2.958228,24.31373,14.3,18.82353,9.803922,19.60784,39.21569,17.64706,0.995642,42.7451,14.2,1321.7,0.0078125,0.992348,14.35874,1.097501,1275.054,35,28.62745,100,0,60,5366,0,13.28125,0.635,41,13.28125,13.28125,-123.2841,43.55493,100.2,18,33.2766,10
08/28/2013 06:13:07.9189 PM,72.70043,35.57038,37.88243,2.043847,51.76471,179.6,3546,9.862566,89.6,3.114342,25.09804,14.3,20,9.803922,19.60784,40,18.43137,0.9910365,44.70588,14.2,1320.98,0.01171875,0.991921,14.35874,1.097501,1275.054,35,28.62745,100,-1.5625,64.70588,5366,0,13.28125,0.64,40.5,13.28125,13.28125,-123.284,43.55522,101.2,18,32.96385,10
08/28/2013 06:13:09.8074 PM,72.70043,33.79228,37.88057,2.151392,54.90196,177.8,3547,9.862566,89.6,3.269133,25.4902,14.1,20.78431,9.803922,19.60784,40.39216,19.21569,0.989298,47.45098,14.2,1322.24,0.015625,0.9892065,14.35874,1.097501,1275.054,35,29.80392,100,-1.5625,68.62745,5369,0,13.28125,0.645,39.5,13.28125,13.28125,-123.2838,43.55579,100.8,17,33.4017,5
08/28/2013 06:13:10.8498 PM,72.70043,33.32158,37.87974,2.181782,54.90196,177.8,3547,10.0076,89.6,3.32073,25.4902,14.3,20.78431,9.803922,19.60784,40.39216,19.21569,0.989786,47.05882,14.2,1323.86,0.0078125,0.991006,14.35874,1.099422,1275.054,35,29.80392,100,0,69.41177,5369,0,13.28125,0.65,39.5,13.28125,13.28125,-123.2836,43.55608,99.59998,17,33.1515,5
08/28/2013 06:13:11.8102 PM,72.70043,33.2662,37.87875,2.185414,53.72549,177.8,3552,10.0076,89.6,3.32073,25.4902,14.2,20.78431,9.803922,19.60784,40.39216,19.21569,0.990396,47.05882,14.2,1324.76,0.01953125,0.9887795,14.35874,1.097501,1275.054,35,29.80392,100,-0.78125,69.01961,5369,0,13.28125,0.655,39.5,13.28125,13.28125,-123.2835,43.55637,100,18,33.21405,5
08/28/2013 06:13:12.8685 PM,72.70043,33.43322,37.87766,2.174497,55.29412,177.8,3552,10.15264,89.6,3.303531,25.88235,14.2,20.78431,9.803922,19.60784,40.39216,19.21569,0.9933545,48.23529,14.2,1326.38,0.0078125,0.991128,14.35874,1.097501,1275.054,35,29.80392,100,0,69.41177,5369,0,13.28125,0.67,39.5,13.28125,13.28125,-123.2834,43.55665,99.79999,18,32.96385,5
08/28/2013 06:13:13.8945 PM,72.70043,33.31838,37.87649,2.181992,54.11765,177.8,3557,9.862566,89.6,3.303531,25.4902,14.1,20.78431,9.803922,19.60784,40.39216,19.21569,0.995276,47.45098,14.2,1327.64,-0.00390625,0.9965265,14.35874,1.099422,1275.054,35,28.23529,100,0,69.01961,5373,0,13.28125,0.675,39.5,13.28125,13.28125,-123.2833,43.55693,99.59998,18,32.58855,5
08/28/2013 06:13:14.8084 PM,72.70043,34.50448,37.8754,2.106985,54.11765,177.8,3557,9.862566,89.6,3.183138,25.4902,14.4,20.39216,9.803922,19.60784,40,18.82353,0.9972585,46.66667,14.2,1328.54,-0.00390625,0.997167,14.35874,1.099422,1275.054,35,28.23529,100,0,67.45098,5373,0,13.28125,0.685,40,13.28125,13.28125,-123.2831,43.55721,99.09998,18,32.58855,5
08/28/2013 06:13:15.9108 PM,72.70043,34.84091,37.87473,2.08664,53.33333,177.8,3562,9.717528,89.6,3.14874,25.09804,14.3,19.60784,9.803922,19.60784,39.60784,18.43137,0.998631,45.09804,14.2,1328.9,-0.015625,0.998265,14.35874,1.097501,1275.054,35,28.23529,100,-0.78125,63.52941,5373,0,12.5,0.69,41,13.28125,12.5,-123.283,43.5575,98.90002,18,33.08895,5
08/28/2013 06:13:17.8431 PM,72.70043,36.86944,37.8737,1.971834,49.41177,177.8,3568,9.137378,89.6,2.958228,24.31373,14.4,18.82353,9.803922,19.60784,39.21569,17.2549,1.004884,42.35294,14.3,1327.46,-0.0078125,0.9989055,14.35874,1.097501,1275.675,35,29.80392,100,0,58.82353,5377,0,12.5,0.69,41.5,13.28125,12.5,-123.2828,43.55806,98.29999,18,33.08895,5
08/28/2013 06:13:18.9083 PM,72.70043,38.12051,37.87368,1.907121,47.45098,177.8,3571,8.99234,89.6,2.852388,23.92157,14.4,18.43137,9.803922,19.60784,38.82353,16.86275,1.007995,40.78431,14.3,1325.66,-0.02734375,1.007018,14.35874,1.097501,1275.675,35,29.80392,100,2.34375,55.68628,5377,0,12.5,0.68,42,13.28125,12.5,-123.2826,43.55834,98.40002,18,32.9013,5
08/28/2013 06:13:19.9090 PM,72.70043,38.85504,37.87379,1.871068,46.66667,177.8,3566,8.702264,89.6,2.79153,23.52941,14.2,17.64706,9.803922,19.60784,38.82353,16.47059,1.009825,40,14.3,1323.86,-0.03125,1.010435,14.35874,1.097501,1275.675,35,29.80392,100,1.5625,51.76471,5377,0,12.5,0.65,42.5,13.28125,12.5,-123.2825,43.55863,97.5,18,33.2766,5
08/28/2013 06:13:20.9781 PM,72.70043,39.08111,37.87417,1.860245,46.27451,177.8,3566,8.702264,89.6,2.776977,23.52941,14.4,17.64706,9.803922,19.60784,38.82353,16.07843,1.010739,39.60784,14.3,1321.52,-0.03515625,0.991616,14.35874,1.097501,1275.675,35,29.80392,100,0.78125,50.98039,5377,0,12.5,0.64,42.5,13.28125,12.5,-123.2824,43.55891,97.90002,18,33.1515,5
08/28/2013 06:13:22.8099 PM,72.70043,39.10202,37.87479,1.85925,46.27451,177.8,3561,8.702264,89.6,2.79153,23.92157,14.4,17.64706,9.803922,19.60784,38.82353,16.47059,0.989542,40.39216,14.35,1317.2,-0.015625,0.9997595,14.35874,1.095579,1275.675,35,28.62745,100,-0.78125,52.15686,5381,0,12.5,0.615,42.5,13.28125,12.5,-123.2821,43.55948,97.5,18,33.21405,5
08/28/2013 06:13:23.8106 PM,72.70043,38.46087,37.87495,1.890244,45.4902,177.8,3557,8.557226,89.6,2.836512,23.52941,14.3,17.64706,9.803922,19.60784,38.82353,16.47059,0.99186,39.60784,14.35,1315.4,-0.0078125,0.9981735,14.35874,1.095579,1275.675,35,28.62745,100,1.5625,51.37255,5381,0,12.5,0.6,42.5,13.28125,12.5,-123.282,43.55976,97.29999,18,33.21405,5
08/28/2013 06:13:24.8112 PM,72.70043,39.52813,37.87548,1.839207,45.4902,177.8,3559,8.412189,89.6,2.776977,23.52941,14.2,17.64706,9.803922,19.60784,38.43137,16.07843,0.9986005,39.21569,14.35,1313.96,0,0.9962215,14.35874,1.097501,1275.675,35,28.62745,100,0,51.37255,5381,0,12.5,0.61,42.5,13.28125,12.5,-123.2819,43.56005,97.29999,17,33.4017,5
